(imag(IF("/M0/G")) / (2 * pi * VF("/net06") * 10000000)) X,(imag(IF("/M0/G")) / (2 * pi * VF("/net06") * 10000000)) YRe,(imag(IF("/M0/G")) / (2 * pi * VF("/net06") * 10000000)) YReImag
0,-1.708197443904915e-16,0
0.036,-3.109789865601682e-16,0
0.07200000000000001,-4.830751059831357e-16,0
0.108,-6.653104537024862e-16,0
0.144,-8.134578073223386e-16,0
0.18,-9.031863906229949e-16,0
0.216,-9.482578029959884e-16,0
0.252,-9.698310735591495e-16,0
0.288,-9.804938970078845e-16,0
0.3240000000000001,-9.860853179590895e-16,0
0.3600000000000001,-9.892032908800404e-16,0
0.3960000000000001,-9.910412971032337e-16,0
0.4320000000000002,-9.921779564546308e-16,0
0.4680000000000002,-9.929101208756829e-16,0
0.5040000000000002,-9.933983377599524e-16,0
0.5400000000000003,-9.937336325388084e-16,0
0.5760000000000003,-9.939698044289902e-16,0
0.6120000000000003,-9.941398316136527e-16,0
0.6480000000000004,-9.942645870627341e-16,0
0.6840000000000004,-9.94357659952313e-16,0
0.7200000000000004,-9.944281209935717e-16,0
0.7560000000000004,-9.94482160664351e-16,0
0.7920000000000005,-9.945240883045796e-16,0
0.8280000000000005,-9.945569575352902e-16,0
0.8640000000000005,-9.945829670876791e-16,0
0.9000000000000006,-9.946037232274364e-16,0
0.9360000000000006,-9.946204149247722e-16,0
0.9720000000000006,-9.946339328645699e-16,0
1.008000000000001,-9.946449516183111e-16,0
1.044000000000001,-9.946539872278804e-16,0
1.080000000000001,-9.946614381130289e-16,0
1.116000000000001,-9.94667614500234e-16,0
1.152000000000001,-9.946727598420203e-16,0
1.188000000000001,-9.946770665760928e-16,0
1.224000000000001,-9.94680687837176e-16,0
1.260000000000001,-9.946837462429059e-16,0
1.296000000000001,-9.946863405426496e-16,0
1.332000000000001,-9.946885506904133e-16,0
1.368000000000001,-9.946904417451498e-16,0
1.404000000000001,-9.946920668911802e-16,0
1.440000000000001,-9.946934697930843e-16,0
1.476000000000001,-9.946946864434651e-16,0
1.512000000000001,-9.946957466215031e-16,0
1.548000000000001,-9.946966750508438e-16,0
1.584000000000001,-9.946974923237208e-16,0
1.620000000000001,-9.946982156422565e-16,0
1.656000000000001,-9.946988594159775e-16,0
1.692000000000001,-9.946994357456038e-16,0
1.728000000000001,-9.946999548164782e-16,0
1.764000000000001,-9.947004252197937e-16,0
1.8,-9.947008542159166e-16,0
